[91m================== SCRIPT STARTED 2023-12-15-13:13:45 =================================[0m
File: /home/neon/Homelab/reverse proxy list.txt, Size: 0.00 MB, Created: 2023-10-26
File: /home/neon/Homelab/default.conf, Size: 0.00 MB, Created: 2023-10-26
File: /home/neon/Homelab/ansible_lab/ansible.cfg, Size: 0.00 MB, Created: 2023-11-02
File: /home/neon/Homelab/ansible_lab/ansible.log, Size: 1.03 MB, Created: 2023-11-26
File: /home/neon/Homelab/ansible_lab/roles/test/tasks/files/sshd_config, Size: 0.00 MB, Created: 2023-11-15
File: /home/neon/Homelab/ansible_lab/roles/k8s-worker/tasks/main.yml, Size: 0.00 MB, Created: 2023-11-05
File: /home/neon/Homelab/ansible_lab/roles/calibre-update-ebook/tasks/main.yml, Size: 0.00 MB, Created: 2023-10-26
File: /home/neon/Homelab/ansible_lab/roles/nginx-proxy/tasks/main.yml, Size: 0.00 MB, Created: 2023-11-06
File: /home/neon/Homelab/ansible_lab/roles/nginx-proxy/files/sshd_config, Size: 0.00 MB, Created: 2023-10-29
File: /home/neon/Homelab/ansible_lab/roles/k8s-master/tasks/main.yml, Size: 0.00 MB, Created: 2023-11-06
File: /home/neon/Homelab/ansible_lab/roles/sync-thing/tasks/main.yml, Size: 0.00 MB, Created: 2023-11-06
File: /home/neon/Homelab/ansible_lab/roles/sync-thing/files/sshd_config, Size: 0.00 MB, Created: 2023-10-29
File: /home/neon/Homelab/ansible_lab/roles/sync-thing/files/config.xml, Size: 0.01 MB, Created: 2023-10-29
File: /home/neon/Homelab/ansible_lab/roles/basic-setup/files/sshd_config, Size: 0.00 MB, Created: 2023-10-29
File: /home/neon/Homelab/ansible_lab/roles/alma-server/files/sshd_config, Size: 0.00 MB, Created: 2023-11-19
File: /home/neon/Homelab/ansible_lab/roles/alma-server/files/sshd_config_rhel, Size: 0.00 MB, Created: 2023-11-19
File: /home/neon/Homelab/ansible_lab/roles/new_servers/files/sshd_config, Size: 0.00 MB, Created: 2023-10-26
File: /home/neon/Homelab/ansible_lab/roles/new_servers/files/sshd_config_rhel, Size: 0.00 MB, Created: 2023-10-26
File: /home/neon/Homelab/ansible_lab/roles/basic-setup1/files/sshd_config, Size: 0.00 MB, Created: 2023-11-15
File: /home/neon/Homelab/ansible_lab/basic-roles/sshd_config, Size: 0.00 MB, Created: 2023-11-19
File: /home/neon/Homelab/ansible_lab/basic-roles/sshd_config_rhel, Size: 0.00 MB, Created: 2023-11-19
File: /home/neon/Homelab/Helm/.git/logs/HEAD, Size: 0.00 MB, Created: 2023-11-14
File: /home/neon/Homelab/Helm/.git/logs/refs/remotes/origin/main, Size: 0.00 MB, Created: 2023-11-14
File: /home/neon/Homelab/Helm/.git/logs/refs/heads/main, Size: 0.00 MB, Created: 2023-11-14
File: /home/neon/Homelab/.git/logs/HEAD, Size: 0.00 MB, Created: 2023-11-19
File: /home/neon/Homelab/.git/logs/refs/remotes/origin/main, Size: 0.00 MB, Created: 2023-11-19
File: /home/neon/Homelab/.git/logs/refs/heads/main, Size: 0.00 MB, Created: 2023-11-19
File: /home/neon/Homelab/scripts/desktop_sync_server.sh, Size: 0.00 MB, Created: 2023-10-26
File: /home/neon/Homelab/scripts/desktop_sync_server.service, Size: 0.00 MB, Created: 2023-10-26
File: /home/neon/Homelab/scripts/desktop_sync_pc.sh, Size: 0.00 MB, Created: 2023-10-26
File: /home/neon/Homelab/scripts/desktop_sync_laptop.sh, Size: 0.00 MB, Created: 2023-10-26
File: /home/neon/Homelab/scripts/desktop_sync_pc.service, Size: 0.00 MB, Created: 2023-10-26
File: /home/neon/Homelab/scripts/desktop_sync_laptop.service, Size: 0.00 MB, Created: 2023-10-26
[91m================== SCRIPT ENDED 2023-12-15-13:13:45 =================================[0m
